,ano_eleicao,nome,nome_urna,numero_sequencial,numero_urna,sigla_uf_nascimento,sigla_partido,numero_partido,tipo_agremiacao,descricao_cargo,despesa_maxima_campanha,idade_data_posse,descricao_cor_raca,descricao_estado_civil,descricao_genero,descricao_grau_instrucao,descricao_nacionalidade,descricao_ocupacao,concorre_reeleicao,declara_bens,descricao_totalizacao_turno
16607,2018,LUIZ JEQUITINHANHO DOS SANTOS SILVA,LUIZ JEQUITINHANHO,190000614959,3615.0,RJ,PTC,36,COLIGACAO,DEPUTADO FEDERAL,0.0,65.0,PARDA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO FEDERAL,N,S,NAO ELEITO
16610,2018,ALEXANDRE DA SILVA MACABU,MACABU,190000607824,2036.0,RJ,PSC,20,COLIGACAO,DEPUTADO FEDERAL,0.0,46.0,PARDA,CASADO(A),MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRASILEIRA NATA,FISCAL,N,S,SUPLENTE
16611,2018,JORGE LUIS DE ALMEIDA,TECO HORTAS,190000607874,9012.0,RJ,PROS,90,COLIGACAO,DEPUTADO FEDERAL,0.0,50.0,PARDA,SOLTEIRO(A),MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRASILEIRA NATA,OUTROS,N,N,NAO ELEITO
16616,2018,ALTAISA DA SILVA TEIXEIRA,ALTAISA TEIXEIRA,190000614668,1708.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,58.0,PARDA,CASADO(A),FEMININO,ENSINO MEDIO COMPLETO,BRASILEIRA (NATURALIZADA),DONA DE CASA,N,N,SUPLENTE
16617,2018,ANDREIA ADRIANA BENTO DA SILVA,ANDREIA HADASSA,190000606028,3114.0,RJ,PHS,31,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,48.0,PARDA,SOLTEIRO(A),FEMININO,LE E ESCREVE,BRASILEIRA NATA,OUTROS,N,N,NAO ELEITO
16622,2018,CARLOS AUGUSTO CORREA MACHADO,CARLOS AUGUSTO,190000613616,6501.0,RJ,PC DO B,65,COLIGACAO,DEPUTADO FEDERAL,0.0,61.0,PRETA,CASADO(A),MASCULINO,ENSINO MEDIO COMPLETO,BRASILEIRA NATA,APOSENTADO (EXCETO SERVIDOR PUBLICO),N,N,SUPLENTE
16623,2018,HUGO MARQUES TRISTAO,DR. HUGO TRISTAO,190000626384,1090.0,RJ,PRB,10,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,39.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEDICO,N,N,SUPLENTE
16627,2018,HELCIO ANGELO DA ROCHA,HELCIO ANGELO,190000614951,3611.0,RJ,PTC,36,COLIGACAO,DEPUTADO FEDERAL,0.0,53.0,BRANCA,CASADO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,TECNICO DE QUIMICA,N,N,NAO ELEITO
16628,2018,LUCIANA RAMOS SARMENTO,LUCIANA RAMOS,190000614661,1756.0,RJ,PSL,17,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,44.0,PARDA,CASADO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA (NATURALIZADA),ENGENHEIRO,N,S,SUPLENTE
16630,2018,ADRIANO DA SILVA GUEDES,ADRIANO PASSIONE,190000615520,1222.0,RJ,PDT,12,COLIGACAO,DEPUTADO FEDERAL,0.0,52.0,BRANCA,SOLTEIRO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,OUTROS,N,N,SUPLENTE
16632,2018,LUIS FERNANDO COSTA,DR. FERNANDO,190000624667,4433.0,RJ,PRP,44,PARTIDO ISOLADO,DEPUTADO FEDERAL,0.0,58.0,PARDA,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,N,S,SUPLENTE
